ID,Species,Interactions,Connectance,Type of interactions,Type of data,Reference,Locality of Studi,Latitude,Longitude,Removed
M_PL_063,64,123,0.248,Pollination,1,"Vizentin-Bugoni, J., P. K. Maruyama, V. J. Debastiani, L. S. Duarte, B. Dalsgaard & M. Sazima (2016). Influences of sampling effort on detected patterns and structuring processes of a Neotropical plant-hummingbird network. Journal of Animal Ecology 85: 262-272.","Santa Virginia Field Station, Serra do Mar State Park",-23.341667,-45.116667,
M_PL_066,36,73,0.471,Pollination,1,"Canela, M.B.F. (2006) Interações entre plantas e beija-flores numa comunidade de floresta atlântica montana em Itatiaia, RJ. Ph.D thesis. Universidade Estadual de Campinas, Brazil.","Serra da Mantiqueira, PNI, SE Brazil",-22.5,-44.83,
M_PL_067,36,59,0.263,Pollination,1,"Las Casas, F.M.G., Azevedo Junior, S.M. & Dias Filho, M.M. (2012) The community of hummingbirds
(Aves: Trochilidae) and the assemblage of flowers in a Caatinga vegetation. Brazilian Journal of Biology, 72, 51-58.","Serra do Pará, Brazil",-7.87,-36.4,
M_PL_068,40,83,0.297,Pollination,1,"Gutierrez Zamora, E.A. & Rojas Nossa, S.V. (2001) Dinámica anual de la interacción colibrí-flor en ecosistemas altoandinos del volcán Galeras, Sur de Colombia. BSc. Thesis. Universidad Nacional de Colombia, Colombia.",Santuario de Flora y Fauna Galeras,1.25,-77.43,
M_PL_071,52,89,0.253,Pollination,1,"Rosero, L. (2003) Interações planta/beija-flor em três comunidades vegetais da parte sul do Parque Nacional Natural Chiribiquete, Amazonas (Colombia). Ph.D. Thesis. Universidade Estadual de Campinas, Brazil","Rainforest, Colombia",0.04,-72.27,
M_SD_002,40,119,0.427,Seed Dispersal,1,"Beehler, B. 1983. Frugivory and polygamy in birds of paradise. Auk, 100: 1-12.","Mount Missim, Morobe Prov., New Guinea",-7.266667,146.7,
M_SD_003,41,68,0.17,Seed Dispersal,1,Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131,"Caguana, Puerto Rico",18.296944,-66.781944,
M_SD_004,54,95,0.14,Seed Dispersal,1,Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131,"Cialitos, Puerto Rico",18.258333,-66.535556,
M_SD_005,38,49,0.151,Seed Dispersal,1,Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131,"Cordillera, Puerto Rico",18.1725,-66.591944,
M_SD_006,36,51,0.162,Seed Dispersal,1,Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131,"Fronton, Puerto Rico",18.308333,-66.558611,
M_SD_010,64,234,0.334,Seed Dispersal,1,"Snow, B.K., Snow, D.W. 1971. The feeding ecology of tanagers and honeycreepers in Trinidad. Auk, 88: 291-322.",Tropical rainforest. Trinidad.,10.716667,-61.3,
M_SD_012,64,146,0.144,Seed Dispersal,1,"Galetti, M., Pizo, M.A. 1996. Fruit eating birds in a forest fragment in southeastern Brazil. Ararajuba, Revista Brasileira de Ornitologia, 4: 71-79.",Santa Genebra Reserve T2. SE Brazil,-22.816667,-47.1,
M_SD_020,58,150,0.182,Seed Dispersal,1,"P. Jordano, unpubl.","Nava Correhuelas. S. Cazorla, SE Spain.",37.927466,-2.866349,
M_SD_031,49,76,0.232,Seed Dispersal,1,"Heleno Ruben H., Ramos Jaime A., Memmott Jane (2013). Integration of exotic seeds into an Azorean seed dispersal network. Biological Invasions. 15, 5, 1143-1154. ",Serra da Tronqueira,37.795017,-25.185375,
M_SD_034,121,419,0.139,Seed Dispersal,1,"Matthias Schleuning, Nico Blüthgen, Martina Flörchinger, Julius Braun, H. Martin Schaefer, Katrin Böhning-Gaese, (2011). Specialization and interaction strength in a tropical plant-frugivore network differ among forest strata. Ecology, 92(1): 26-36.","Kakamega Forest, Kenya",0.295833,34.786111,
